system:index,TCB,blue,green,ndvi,ndwi,nir,presence,red,swir1,swir2,.geo
492_0,6712.676,1368,1987,0.15519178,-0.2885786,3599,0.0,2632,4058,3557,
491_0,3725.5280000000007,382,615,0.7989212,-0.742893,4169,0.0,466,1737,861,
504_0,5919.3638,1077,1655,0.23393227,-0.3666284,3571,0.0,2217,3472,2830,
493_0,2807.9622,287,578,0.689158,-0.67037356,2929,0.0,539,1271,576,
506_0,7573.764500000001,1892,2590,0.09883639,-0.20417883,3919,0.0,3214,4119,3466,
499_0,4374.9944000000005,351,645,0.8802499,-0.78719896,5417,0.0,345,1806,740,
495_0,5123.5213,677,1046,0.4507618,-0.57737374,3904,0.0,1478,3234,2094,
494_0,2980.6409000000003,368,430,0.5230235,-0.60604674,1753,0.0,549,3203,1808,
505_0,3551.1866000000005,840,1134,0.15026227,-0.24349566,1864,0.0,1377,2176,1726,
513_0,4531.570100000001,736,1050,0.40834326,-0.4755245,2954,0.0,1241,3281,2337,
511_0,3430.4476,192,562,0.7797663,-0.7286335,3580,0.0,443,1999,1012,
512_0,4298.4543,706,1016,0.4260572,-0.48334605,2917,0.0,1174,2952,2112,
514_0,4142.9395,391,629,0.8351268,-0.7672095,4775,0.0,429,1937,947,
498_0,4585.620000000001,330,578,0.9079935,-0.8201058,5848,0.0,282,1901,742,
497_0,3772.2405,551,802,0.43717125,-0.5081263,2459,0.0,963,2943,2011,
496_0,3544.4543000000003,489,791,0.62397116,-0.5992908,3157,0.0,731,2004,1187,
502_0,3427.9471000000003,623,826,0.3748757,-0.43034482,2074,0.0,943,2563,1932,
503_0,3512.6495,566,829,0.42727274,-0.47927135,2355,0.0,945,2433,1816,
472_0,3829.5492000000004,445,696,0.7360291,-0.6918309,3821,0.0,581,2178,1104,
476_0,4745.1148,776,1227,0.3631568,-0.44940543,3230,0.0,1509,2864,2144,
474_0,4510.3743,375,643,0.8805768,-0.7921112,5543,0.0,352,1933,807,
501_0,3465.4831,606,832,0.39235544,-0.43840703,2131,0.0,930,2721,1774,
479_0,3384.107,366,562,0.8074713,-0.7407749,3774,0.0,402,1646,750,
489_0,4142.353300000001,333,553,0.8829376,-0.8048694,5115,0.0,318,1799,739,
477_0,4806.951,1422,1829,0.21658206,-0.22252922,2876,0.0,1852,2214,1694,
478_0,3593.4075000000003,371,602,0.80361277,-0.7322064,3894,0.0,424,1916,864,
460_0,4586.392400000001,912,1332,0.22565207,-0.31569484,2561,0.0,1618,3001,2365,
481_0,5264.9481,1096,1642,0.16931216,-0.27264673,2873,0.0,2041,3178,2556,
482_0,4826.4547,878,1252,0.33436808,-0.41234452,3009,0.0,1501,3253,2404,
462_0,3588.1296,354,621,0.79033726,-0.72697294,3928,0.0,460,1747,880,
463_0,3235.7184,219,444,0.8810736,-0.80306053,4065,0.0,257,1308,530,
464_0,3711.9229000000005,485,826,0.5958222,-0.5981513,3285,0.0,832,2041,1243,
458_0,4718.7959,726,1124,0.4393112,-0.5060426,3427,0.0,1335,3050,1934,
480_0,4237.087,954,1361,0.18981598,-0.26847622,2360,0.0,1607,2429,2062,
475_0,5229.657900000001,966,1423,0.25105697,-0.37174392,3107,0.0,1860,3249,2668,
486_0,4527.5739,349,569,0.90588236,-0.8199367,5751,0.0,284,1902,725,
471_0,3914.8016,347,608,0.8650955,-0.76606387,4590,0.0,332,1887,795,
473_0,3933.7865,353,607,0.8649569,-0.7692454,4654,0.0,337,1846,758,
459_0,4219.7082,613,951,0.5091384,-0.53946733,3179,0.0,1034,2892,1734,
465_0,3566.1996000000004,268,676,0.80022395,-0.7120341,4019,0.0,446,1639,715,
483_0,4972.3932,1082,1493,0.18296182,-0.28444764,2680,0.0,1851,3119,2584,
470_0,3485.3484,424,731,0.6894154,-0.6355024,3280,0.0,603,2065,1014,
468_0,3554.2623,363,719,0.68366283,-0.6364096,3236,0.0,608,2297,1172,
469_0,3732.9191,422,745,0.6661714,-0.6373814,3364,0.0,674,2387,1249,
467_0,3613.981,233,552,0.85389537,-0.7676768,4200,0.0,331,1799,785,
484_0,3525.2154,441,734,0.5874688,-0.5918821,2863,0.0,744,2407,1404,
466_0,4398.440299999999,505,884,0.6653949,-0.6631739,4365,0.0,877,2112,1205,
487_0,3927.4674,656,999,0.41548184,-0.45809603,2688,0.0,1110,2572,1816,
488_0,3779.0297000000005,623,912,0.5003995,-0.5108608,2817,0.0,938,2448,1617,
485_0,3657.9599000000007,397,680,0.8115305,-0.70383275,3912,0.0,407,1987,880,
500_0,3717.5318,357,598,0.84445405,-0.753656,4257,0.0,359,1842,774,
446_0,6198.366099999999,1423,2088,0.1064666,-0.1945998,3097,0.0,2501,3767,3053,
442_0,3802.3748,341,693,0.8159692,-0.71977353,4253,0.0,431,1857,802,
443_0,3127.3410000000003,344,680,0.6677045,-0.62493104,2946,0.0,587,1727,952,
447_0,6034.2916,1410,2029,0.12638992,-0.19928966,3039,0.0,2357,3721,3011,
441_0,3569.6041000000005,397,701,0.7176879,-0.6632236,3462,0.0,569,2115,1018,
439_0,4255.8121,585,955,0.52696353,-0.5626288,3412,0.0,1057,2736,1484,
453_0,4098.6436,332,683,0.8443715,-0.749771,4776,0.0,403,1910,806,
452_0,4193.4505,335,704,0.8413651,-0.74919844,4910,0.0,423,1899,810,
440_0,4012.8318,372,704,0.77896684,-0.71985674,4322,0.0,537,2068,956,
432_0,4186.6723,421,799,0.76159215,-0.6861744,4293,0.0,581,2339,1095,
428_0,4227.8481,288,575,0.8923185,-0.8073702,5395,0.0,307,1633,664,
433_0,4246.1131000000005,554,909,0.591133,-0.5925594,3553,0.0,913,2751,1526,
434_0,3968.6738000000005,564,878,0.48247424,-0.5322323,2876,0.0,1004,2857,1694,
448_0,1637.5807,186,309,0.7597137,-0.6955665,1721,0.0,235,802,446,
449_0,5082.636800000001,1434,1624,0.44138777,-0.43385044,4113,0.0,1594,2045,1015,
451_0,4394.9086,469,889,0.6961228,-0.65794533,4309,0.0,772,2401,1212,
438_0,860.2924,208,369,0.4328018,-0.26052105,629,0.0,249,369,219,
490_0,3818.3384000000005,393,687,0.8173951,-0.7188459,4200,0.0,422,1946,869,
507_0,3733.2695000000003,390,670,0.77313566,-0.70976824,3947,0.0,505,1942,970,
510_0,3722.4051,310,526,0.87051547,-0.792177,4536,0.0,314,1624,675,
509_0,3198.7701,271,543,0.84521484,-0.74872744,3779,0.0,317,1397,593,
508_0,3595.7614999999996,339,585,0.8272042,-0.7515396,4124,0.0,390,1693,744,
437_0,3885.646800000001,413,737,0.66813236,-0.6604469,3604,0.0,717,2337,1301,
450_0,3444.3815,322,561,0.78708136,-0.7388268,3735,0.0,445,1760,892,
435_0,3374.5006000000003,371,607,0.76723915,-0.7005427,3447,0.0,454,1921,940,
436_0,4012.3578,410,783,0.70165503,-0.66609806,3907,0.0,685,2304,1137,
427_0,3792.5447,318,600,0.85297793,-0.76232916,4449,0.0,353,1776,756,
429_0,4554.0186,393,718,0.867105,-0.76509076,5395,0.0,384,2105,904,
