,ID,X,Y,YEAR,PresenceAb,Percent_Cov,X0415_blue,blue,green,red,nir
1,203,-110.2990036,39.01570129,2016,0,0,2789.502556,0.771306495,-511710.1877,0.165819384,2954.476349
2,422,-110.3649979,38.87530136,2016,0,0,2447.646766,0.788604595,-846262.2151,0.222359607,2694.71291
3,GR217,-110.181807,38.905561,2017,0,0,2367.80935,0.767187554,-335192.5244,0.154630731,2607.06992
4,432,-110.223999,38.97869873,2016,0,0,2363.589501,0.782478987,-613969.0728,0.199784281,2590.450362
5,276,-110.2310028,39.02970123,2016,0,0,2357.759308,0.765532426,-395651.8484,0.182212445,2748.391053
6,219,-109.8529968,38.82740021,2016,0,0,2245.197914,0.779488588,-630803.8233,0.207729779,2683.31192
7,468,-109.4560013,38.90869904,2016,0,0,2170.997422,0.783055668,-561838.8633,0.185996379,2531.829872
8,5,-109.9520035,38.92200089,2016,0,0,2170.414742,0.774988641,-503583.2943,0.19509681,2616.199788
9,449,-110.0979996,39.07450104,2016,0,0,2152.76009,0.774766585,-384811.7753,0.178602711,2374.123975
10,401,-109.3889999,39.03440094,2016,0,0,2110.603822,0.785088276,-517055.1268,0.200211193,2300.196254
11,238,-109.9339981,38.90140152,2016,0,0,2057.59374,0.784134986,-589440.9802,0.211889168,2424.598212
12,3,-109.586998,38.92630005,2016,0,0,2028.710939,0.788909379,-628024.9876,0.207103011,2388.680473
13,37,-109.4100037,39.08390045,2016,0,0,1965.634994,0.787257396,-458294.3079,0.191512092,2148.944874
14,116,-110.0279999,38.86619949,2016,0,0,1957.448566,0.785432461,-437182.9122,0.220482247,2018.973432
15,304,-110.2099991,38.89179993,2016,0,0,1952.553859,0.790826313,-474391.5352,0.19505624,2083.251166
16,201,-109.5410004,38.9742012,2016,0,0,1946.396493,0.798547746,-642253.7855,0.211334394,2157.226867
17,400,-110.3450012,38.93610001,2016,0,0,1932.808625,0.774811759,-234852.6832,0.145672042,1983.734643
18,29,-110.0680008,38.91749954,2016,0,0,1917.516568,0.775661306,-390620.0922,0.195054542,2283.108591
19,99,-110.4349976,38.71319962,2016,0,0,1900.05256,0.792567731,-946671.613,0.294676008,2334.223763
20,317,-110.4649963,38.64889908,2016,0,0,1872.986787,0.779636412,-560171.1081,0.250855008,2304.191506
22,222,-109.3690033,38.88669968,2016,0,0,1863.463106,0.809557882,-842675.0083,0.244324533,2073.849551
23,183,-108.3420029,39.11380005,2016,0,0,1848.039519,0.760313428,-116242.2647,0.117730718,1860.8453
24,312,-110.2850037,39.12659836,2016,0,0,1841.729747,0.785492085,-425211.6804,0.202475808,2066.17964
25,GR520,-110.36555,38.842818,2017,0,0,1837.269282,0.797372643,-590289.237,0.243493873,1955.991632
26,283,-110.1299973,39.02460098,2016,0,0,1833.120722,0.79288523,-532673.8712,0.21579181,2066.278897
27,66,-110.0830002,38.98820114,2016,0,0,1832.997851,0.788693845,-481920.6235,0.208072138,2093.609806
28,182,-108.9749985,39.27809906,2016,0,0,1829.98032,0.812512395,-773829.3718,0.233781134,1979.702634
29,397,-109.4810028,39.03210068,2016,0,0,1829.195771,0.787453884,-393746.8987,0.193854881,1977.765306
30,495,-108.4309998,39.0021019,2016,0,0,1826.085951,0.798436908,-626006.8346,0.219284149,2096.940467
31,474,-109.3960037,38.93040085,2016,0,0,1822.441119,0.788256543,-440179.4003,0.20930979,2005.895328
32,137,-109.7490005,38.93569946,2016,0,0,1817.167328,0.795479355,-587218.1718,0.218041962,2099.835713
33,39,-110.3290024,38.76210022,2016,0,0,1808.946083,0.795207393,-816129.7935,0.276828794,2190.068299
34,0,-110.3860016,38.81230164,2016,0,0,1807.892686,0.794524914,-957406.2708,0.30391258,2252.016659
35,341,-110.2460022,38.80739975,2016,0,0,1786.795333,0.79689165,-673874.6861,0.267175993,1996.477877
36,269,-110.2850037,38.75510025,2016,0,0,1783.975433,0.805956709,-1169085.447,0.327309708,2106.942507
37,233,-109.5459976,38.92499924,2016,0,0,1760.096584,0.808946171,-635479.6631,0.227007547,1878.740319
38,311,-109.5,39.04560089,2016,0,0,1756.214289,0.788638506,-425417.0726,0.203408516,1987.667206
39,192,-109.2679977,39.19440079,2016,0,0,1750.651988,0.804407779,-610301.5353,0.223814338,1933.536388
40,376,-109.2860031,38.88639832,2016,0,0,1749.527189,0.797270031,-617100.7978,0.238237122,2024.483033
41,355,-109.0960007,39.23680115,2016,0,0,1736.803096,0.814401275,-907295.4692,0.252001178,2028.657439
42,294,-109.038002,39.34809875,2016,0,0,1734.777459,0.802046891,-574635.1108,0.220872115,1931.440892
43,156,-110.1880035,38.97320175,2016,0,0,1728.426995,0.769285201,-199099.7771,0.161396144,1918.202285
44,94,-110.1139984,38.8158989,2016,0,0,1726.537821,0.800284284,-1042469.601,0.328228452,2097.585354
45,GR022,-110.179932,38.906398,2017,0,0,1722.82738,0.805340786,-451415.1151,0.199111397,1735.942823
46,25,-109.3209991,39.13240051,2016,0,0,1715.382688,0.789923843,-446972.4799,0.200210589,2021.074589
47,377,-110.038002,39.04439926,2016,0,0,1714.959631,0.796819368,-541405.81,0.22200053,1971.700234
48,272,-109.9520035,38.75049973,2016,0,0,1703.215298,0.802471451,-1115906.86,0.331974057,2106.056951
49,259,-109.8610001,38.96659851,2016,0,0,1697.242561,0.807807586,-579285.2057,0.215281408,1857.808563
50,96,-109.7320023,38.69760132,2016,0,0,1687.050475,0.819792001,-1378587.047,0.334190623,1996.606587
51,144,-109.9830017,38.97460175,2016,0,0,1685.838317,0.797572613,-483686.8206,0.217445958,1867.013667
52,270,-109.5569992,38.85879898,2016,0,0,1681.612917,0.806535322,-607090.1894,0.249329189,1790.695006
53,90,-110.2360001,38.69670105,2016,0,0,1680.874098,0.793381752,-708542.1743,0.290324085,2020.880408
54,GR040,-109.30802,38.810934,2017,0,0,1669.878594,0.804923947,-596180.2128,0.242836637,1826.696247
55,21,-109.4550018,38.89220047,2016,0,0,1666.675752,0.814691297,-653731.8025,0.243028431,1751.0634
56,348,-108.6719971,39.22890091,2016,0,0,1660.749905,0.807593203,-590663.0353,0.215778597,1877.69575
57,GR106,-110.097506,39.165739,2017,0,0,1652.53029,0.807189589,-634995.2985,0.235608632,1874.123442
58,194,-108.6989975,39.31629944,2016,0,0,1644.682368,0.805213319,-621573.1332,0.239318317,1874.011651
59,5661,-110.13485,38.936333,2014,0,0,1641.830969,0.788717751,-350178.2736,0.224004123,1725.73676
60,415,-109.3519974,38.97489929,2016,0,0,1616.424952,0.799374881,-368937.9774,0.197067348,1670.701984
61,46,-109.8420029,38.95069885,2016,0,0,1610.591736,0.822430581,-841426.2166,0.260166102,1796.865505
62,328,-108.8720016,39.29299927,2016,0,0,1607.904833,0.83644495,-1020454.783,0.264709204,1765.530534
63,GR802,-110.179381,38.906252,2017,0,0,1604.131407,0.782525458,-207120.6801,0.162344452,1625.549191
64,180,-108.6159973,39.26210022,2016,0,0,1594.016711,0.829679276,-827001.6105,0.257510049,1694.760919
65,GR803,-110.179408,38.906335,2017,0,0,1586.163227,0.737895521,-28670.52237,0.094759871,1648.544755
66,GR031,-109.633137,38.57442,2017,0,0,1585.138734,0.794986695,-419147.0157,0.236777389,1714.48096
67,372,-108.4820023,39.13679886,2016,0,0,1577.458041,0.809216524,-520165.9592,0.219010049,1724.502572
68,51,-109.1699982,38.80509949,2016,0,0,1572.499418,0.812446288,-589490.2907,0.246117078,1684.36483
69,305,-109.7710037,38.71519852,2016,0,0,1569.795747,0.810057916,-1025543.345,0.337177897,1858.887621
70,GR519,-110.366055,38.840374,2017,0,0,1563.249353,0.804653656,-385127.3285,0.2261553,1525.110377
71,360,-109.973999,38.63750076,2016,0,0,1562.574553,0.816515265,-785132.447,0.28200601,1737.673191
72,187,-109.7939987,38.87609863,2016,0,0,1554.382555,0.862574811,-1357690.597,0.299203464,1602.782598
